xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,Faulty
0.89626,3557.1,4358.2,8.5135,26.953,41.96,2648.9,74.616,120.42,0.34625,81.642,49.919,2573.6,25.157,50.988,3062.2,22.756,69.177,287.91,324.95,95.1,77.38,30.929,9.2813,25.175,6.8959,20.632,1.7385,31.292,14.12,22.727,1.4069,20.533,2.3783,5.1441,2.4535,0.02671,0.95724,0.11498,54.703,43.812,61.563,51.872,88.259,59.092,17.708,43.15,37.862,48.82,66.752,40.291,18.84,1
0.93823,3645.9,4245.7,8.7008,26.913,42.575,2648.4,74.525,120.44,0.35584,81.376,48.956,2573.6,26.02,49.769,3059.9,22.647,69.459,297.81,327.34,95.015,77.623,31.231,8.9871,25.449,7.002,20.435,1.6825,31.301,13.93,22.526,1.4813,20.858,2.3589,5.2057,2.2862,0.02671,0.95724,0.11498,54.703,43.812,62.495,52.023,92.294,57.371,18.016,43.432,35.027,46,69.684,40.513,19.072,1
0.89155,3615.5,4294.2,8.8249,27.02,42.797,2660.2,73.427,120.4,0.36027,81.587,47.871,2587.4,24.28,51.202,3066.7,21.887,70.289,316.16,333.98,94.617,77.79,32.202,8.933,25.003,6.8942,20.037,1.7338,32.046,14.084,22.332,1.3839,19.997,2.3961,5.1453,2.3804,0.017907,0.915,0.10838,54.068,43.276,61.781,52.463,87.305,58.097,19.494,43.505,31.834,49.315,76.643,40.043,20.723,1
0.81169,3638.8,4425,9.0084,26.821,42.611,2686.5,73.823,120.42,0.33216,80.676,49.284,2615,26.722,50.072,3081.5,23.711,71.044,348.21,344.52,94.422,77.474,33.005,8.7682,25.246,6.976,18.557,1.7229,33.804,13.929,22.338,1.2042,18.476,2.3215,5.0891,2.362,0.025841,0.8343,0.11492,54.42,43.963,62.348,52.349,79.443,61.664,22.414,39.791,35.992,46.701,84.436,42.081,16.201,1
0.6414,3651.9,4618.4,9.0374,27.254,42.047,2739.8,76.272,120.39,0.29052,79.225,48.859,2671.2,23.747,49.512,3126.1,23.55,69.843,322.5,350.74,94.473,76.92,32.828,8.9675,27.156,6.7605,17.531,1.6731,34.178,13.716,24.773,1.1895,17.211,2.305,4.746,2.2889,0.0076432,0.71796,0.077188,53.154,44.037,63.49,55.343,62.827,56.668,25.08,33.4,34.743,45.405,75.33,41.924,16.436,1
0.60158,3713.6,4593.3,8.8703,26.717,42.14,2740.4,75.151,120.38,0.30428,79.503,47.783,2672.1,25.536,49.005,3128.6,23.132,69.429,315.47,349.44,94.306,77.273,32.568,8.593,26.673,6.8837,17.947,1.664,33.931,13.555,25.349,1.0658,17.327,2.2942,4.6599,2.1973,0.019168,0.6938,0.10436,53.747,43.677,62.609,55.396,58.91,56.75,24.853,34.005,31.575,44.232,72.038,42.153,17.433,1
0.6697,3675.5,4553.7,8.9246,26.7,41.884,2735.9,75.644,120.4,0.30401,79.266,52.725,2665.9,25.736,48.285,3125.8,23.679,69.057,302.27,347.18,94.482,77.183,32.423,8.8481,26.875,6.9334,17.921,1.6323,33.407,13.476,24.95,1.0801,17.106,2.2859,4.7271,2.3106,0.025728,0.7093,0.094681,53.853,43.616,63.165,54.977,65.808,57.414,24.193,34.925,46.118,42.566,68.65,41.265,16.191,1
0.70651,3668.9,4537.9,8.5731,26.733,42.024,2719.5,75.763,120.42,0.2997,80.01,49.564,2648,23.183,47.713,3114.7,22.783,67.615,257.59,340.86,94.778,77.242,32.294,8.8611,27.249,6.8662,18.627,1.6664,32.708,13.708,25.328,1.1262,18.203,2.2552,4.7366,2.2279,0.025686,0.77446,0.11087,54.075,43.599,63.767,54.699,69.316,58.288,22.646,35.494,36.818,41.241,56.411,40.456,18.435,1
0.68464,3690.9,4537.5,8.4891,26.629,42.346,2712.5,76.434,120.39,0.3037,79.768,51.792,2641.6,24.67,51.676,3109.4,22.211,67.58,257.07,339.85,94.643,76.408,31.915,8.7488,26.946,7.0978,18.985,1.6639,32.038,13.551,25.264,1.337,18.407,2.2968,4.7282,2.1971,0.025686,0.77446,0.11087,54.075,43.599,62.965,54.207,67.622,55.29,22.223,36.513,43.375,50.412,55.438,40.554,19.872,1
0.83108,3618.6,4489.3,8.5799,26.892,41.972,2688.7,75.949,120.4,0.30059,80.069,49.498,2615,26.559,49.172,3093.3,23.786,66.871,239.94,333.21,95.048,76.863,31.514,8.8853,26.714,7.0404,19.209,1.7363,31.676,13.559,24.993,1.3794,18.84,2.2901,4.9498,2.2474,-0.0065158,0.87846,0.1223,54.045,43.244,62.041,53.719,82.054,55.006,20.125,37.298,36.622,44.618,50.86,40.195,16.255,1
0.83864,3638.1,4381.1,8.7614,26.731,41.876,2690.6,74.271,120.4,0.3149,80.363,50.003,2618.4,25.887,52.601,3090.2,22.656,68.133,275.25,339.14,94.833,77.228,31.658,8.9128,25.734,6.7894,19.048,1.7096,32.799,13.922,23.084,1.1558,19.142,2.356,4.9334,2.4068,0.025158,0.8888,0.089409,53.667,44.773,62.099,52.537,82.743,59.453,21.253,37.991,38.108,52.553,61.353,40.491,18.856,1
0.81102,3654.1,4431.6,8.8523,26.827,42.225,2692.3,74.572,120.41,0.30399,80.439,49.063,2622,27.414,49.582,3089.7,23.668,67.744,267.15,339.42,94.574,77.59,32.024,8.9005,26.262,6.8916,19.095,1.7176,32.279,13.825,23.342,1.4224,19.368,2.3624,4.8741,2.2616,0.0026911,0.90213,0.099288,53.546,43.528,62.872,52.992,79.314,57.374,21.626,36.258,35.341,45.568,59.311,40.83,16.45,1
0.76724,3697.1,4462,8.7644,26.46,42.444,2690.9,75.414,120.41,0.32909,80.517,49.8,2619.5,26.878,51.032,3089.9,23.671,68.09,272.67,339.86,94.758,77.23,32.362,9.0069,25.735,7.1087,19.247,1.6589,32.914,13.866,23.376,1.2875,19.351,2.4048,4.9135,2.3189,0.025174,0.88553,0.094774,53.351,44.004,62.039,53.78,75.809,56.875,21.365,39.619,37.511,48.923,61.143,40.725,16.435,1
0.78251,3651.7,4439.2,8.8112,26.973,42.052,2692.5,74.517,120.36,0.34097,80.108,51.056,2621.1,26.486,52.003,3089.6,23.377,68.567,288.56,341.52,94.743,77.293,32.074,8.8865,25.622,6.9295,18.925,1.7223,32.832,13.868,23.069,1.3983,18.887,2.3953,4.9665,2.3319,0.030056,0.8702,0.10259,54.278,43.959,62.972,53.368,76.971,57.132,22.062,40.693,41.208,51.168,64.893,40.444,17.114,1
0.78793,3702.3,4496.5,8.8439,27.037,42.931,2701.8,74.38,120.44,0.31876,80.556,50.505,2631.1,26.124,50.779,3098.4,22.61,68.714,292.28,342.49,94.408,77.639,32.665,9.0603,25.871,6.9511,18.77,1.7049,33.227,13.976,23.227,1.2845,19,2.3581,4.8414,2.2036,0.030056,0.8702,0.10259,54.278,43.959,63.789,53.462,77.357,58.604,22.421,38.392,39.586,48.338,65.598,41.834,18.863,1
0.71819,3618.9,4511.1,8.9708,26.703,42.078,2705.1,74.775,120.39,0.33381,80.045,50.743,2634.3,26.312,50.596,3098.8,22.639,69.006,294.5,344.16,94.72,77.226,32.292,8.9516,26.437,6.8146,18.115,1.7243,33.369,13.895,23.561,1.1801,18.692,2.361,4.7878,2.383,0.019377,0.79998,0.091092,53.877,44.715,62.574,54.001,70.56,56.796,22.676,39.585,40.287,47.913,67.277,40.981,18.745,1
0.74458,3652.8,4522.9,8.7811,27.065,42.401,2705.6,73.711,120.41,0.32052,80.397,51.305,2634.9,24.863,50.917,3104.3,23.609,67.814,265.49,339.95,94.554,77.637,31.885,8.8818,26.434,6.9891,18.724,1.7506,32.814,13.754,23.785,1.2797,18.998,2.3126,4.8175,2.216,0.027421,0.83995,0.10374,54.195,44.36,63.104,54.375,73.048,57.537,22.209,38.339,41.939,48.657,58.054,41.546,16.46,1
0.74523,3598.5,4504.5,8.8223,27.231,42.312,2705.9,74.556,120.42,0.33457,80.099,52.119,2634,25.714,50.36,3102.7,22.057,67.65,266.05,340.48,94.771,77.577,32.076,8.8923,26.279,6.7625,19.266,1.7136,32.747,13.848,24.022,1.2159,18.873,2.38,4.9246,2.3226,0.023645,0.84107,0.11788,54.573,44.198,62.922,54.147,73.812,57.772,22.155,38.72,44.337,47.367,58.618,41.04,20.191,1
0.73817,3687.9,4498.7,8.9415,26.819,42.259,2705.1,74.485,120.4,0.30309,80.386,51.869,2635,23.779,48.589,3101.8,22.598,68.038,276.17,341.13,94.666,77.797,31.927,8.7606,26.218,6.8285,18.957,1.7643,32.938,13.846,23.463,1.1377,18.34,2.3352,4.8308,2.3295,0.019986,0.81829,0.087311,53.37,44.066,62.63,54.925,72.757,56.909,22.258,35.84,43.601,43.27,60.873,41.259,18.882,1
0.78196,3670,4464.5,8.782,27.001,42.28,2704,76.1,120.41,0.32348,80.209,50.385,2631.8,26.27,52.3,3102.2,23.976,68.184,272.24,340.62,94.683,77.313,32.237,8.8188,26.444,6.8814,18.911,1.6781,32.837,13.962,23.92,1.0999,18.842,2.3509,4.7902,2.3195,0.018081,0.81868,0.10828,54.812,43.64,63.03,53.712,77.393,56.824,21.955,38.194,39.232,51.858,60.708,40.942,15.639,1
0.71344,3657.3,4535.1,8.9035,26.586,42.41,2703.5,75.007,120.4,0.3288,79.951,52.372,2632.4,24.638,50.285,3099.3,23.416,67.906,272.06,342.15,94.769,77.197,32.071,8.8669,26.135,6.7893,18.911,1.6977,32.926,13.777,23.694,1.3803,18.547,2.3304,4.9157,2.3543,0.024537,0.8215,0.093354,54.094,44.145,62.609,53.238,70.346,57.976,22.183,39.265,45.079,47.194,59.999,41.064,16.991,1
0.26245,3712.5,4696.7,9.554,26.804,43.007,2727.6,74.711,120.41,0.79253,80.28,50.657,2655.4,24.548,50.424,3129.4,22.469,62.888,151.33,342.32,94.519,78.568,32.049,9.3962,27.01,6.5922,18.521,1.3086,32.376,14.644,24.379,1.1722,18.487,1.812,4.8901,2.2349,0.0096205,0.83853,0.083231,53.872,42.951,63.882,55.935,25.872,62.744,22.066,93.192,40.033,47.514,28.761,42.21,18.576,1
0.26587,3740.5,4657.7,9.6618,26.733,42.253,2714.6,74.111,120.38,0.77998,80.957,50.62,2641.9,22.587,50.871,3116.9,22.31,63.147,150.23,341.53,94.384,78.971,32.281,9.2589,26.241,6.8553,18.704,1.257,32.622,14.341,24.198,1.3016,18.437,1.6955,4.9743,2.3204,0.0071754,0.84434,0.072773,53.374,43.779,62.998,55.74,26.16,62.227,21.504,93.065,39.924,48.55,28.476,40.71,18.757,1
0.28454,3685.5,4703.9,9.7252,26.65,42.762,2687.5,74.183,120.41,0.70995,81.554,50.225,2614.9,27.506,48.228,3090.5,22.7,62.687,119.97,340.11,94.574,78.994,32.262,8.881,26.714,6.855,19.288,1.0943,32.503,13.566,24.192,1.3335,19.079,1.4577,5.07,2.4608,0.038855,0.85352,0.065507,53.87,43.435,63.233,55.91,28.173,62.541,20.54,84.775,38.764,42.432,22.214,41.702,17.415,1
0.26563,3631.5,4601.5,9.6126,27.005,42.783,2685.3,75.001,120.39,0.6965,81.479,49.235,2612.8,26.189,50.225,3086.1,22.541,62.597,117.96,340.37,94.434,79.22,32.331,8.8697,26.976,7.0294,19.012,1.0227,33.036,13.497,24.804,1.3274,18.498,1.4091,5.1251,2.4547,0.028202,0.8478,0.05605,53.973,44.172,63.212,55.507,26.174,64.885,21.233,84.295,35.848,47.054,22.575,41.314,17.783,1
0.26526,3670.6,4656.3,9.5463,27.04,42.898,2688.4,73.891,120.36,0.69368,81.669,50.626,2616.2,24.896,51.202,3091,21.919,62.647,119.27,340.19,94.544,79.346,31.906,8.8577,26.832,6.9875,19.195,1.0674,32.846,13.667,24.176,1.3013,18.88,1.4849,5.1562,2.3871000000000002,0.028202,0.8478,0.05605,53.973,44.172,62.702,55.448,25.793,64.601,20.766,84.12,39.941,49.315,22.372,41.293,19.228,1
0.30628,3645.8,4657,9.6107,26.778,42.985,2692.3,75.094,120.41,0.7131,81.691,51.111,2619.8,23.985,50.657,3094,21.881,62.637,119.73,341.06,94.505,79.522,32.562,8.6696,26.472,6.7572,18.769,1.0953,33.034,13.469,24.296,1.2903,18.766,1.4286,5.061,2.3819,0.028202,0.8478,0.05605,53.973,44.172,63.378,54.935,30.002,63.188,21.184,85.946,41.37,48.055,22.245,41.416,19.291,1
0.30422,3670.8,4732.3,9.6487,27.064,42.648,2691.4,74.366,120.37,0.70468,81.218,49.895,2618.7,24.665,50.527,3094.7,23.179,62.592,119.08,340.73,94.433,78.786,32.326,8.7592,27.016,6.9792,18.745,1.0854,32.746,13.347,25.194,1.3162,18.316,1.428,5.1933,2.3942,-0.0076201,0.8402,0.08126,53.821,43.4,62.979,55.417,30.285,63.364,20.995,83.637,37.792,47.754,22.744,41.547,16.256,1
0.27471,3712.9,4691.2,9.6523,26.846,42.611,2692.7,76.151,120.39,0.68417,81.402,51.638,2620.4,23.638,49.672,3095.8,22.98,62.426,114.38,339.56,94.343,78.737,31.819,8.6841,27.036,6.9934,19.196,1.0593,32.787,13.595,24.819,1.3628,18.802,1.4232,5.0616,2.4392,0.024386,0.84986,0.049083,53.5,44.899,63.188,56.188,27.195,63.761,20.953,82.089,42.921,45.774,21.819,41.21,16.774,1
0.27786,3692.5,4687.3,9.6361,26.727,42.478,2684,76.213,120.4,0.67324,81.61,50.985,2611.5,25.037,48.932,3086,23.911,62.634,122.21,338.81,94.391,78.863,31.782,8.9692,26.387,6.9048,18.691,1.0544,32.685,13.644,24.847,1.2563,19.029,1.4381,5.1266,2.4348,0.02778,0.84665,0.07041,53.922,44.17,63.184,56.436,27.296,60.087,20.68,80.828,40.998,44.063,22.588,41.519,14.611,1
0.27699,3668.6,4738.1,9.4286,26.766,42.182,2683.2,75.73,120.39,0.6731,81.575,51.76,2610.7,26.626,50.77,3085.9,23.417,62.671,120.32,338.68,94.61,78.826,31.782,8.9692,26.387,6.9048,18.691,1.0544,32.685,13.644,24.847,1.2563,19.029,1.4381,5.1266,2.4348,0.02778,0.84665,0.07041,53.922,44.17,63.595,55.828,27.382,64.781,20.547,80.844,43.279,48.315,22.894,40.582,15.791,1
0.29505,3688.4,4661,9.498,27.086,42.838,2681.1,74.924,120.41,0.6738,81.678,48.383,2608.5,23.05,48.773,3085.2,24.137,63.121,130.32,339.5,94.457,79.554,32.253,8.8403,26.683,7.0874,18.994,1.0193,32.358,13.65,24.537,1.513,19.246,1.3585,5.1608,2.4204,0.021011,0.8409,0.055177,54.524,43.755,63.921,54.637,28.757,62.266,20.792,80.97,33.342,43.695,25.273,41.52,14.023,1
0.3308,3672.2,4618.6,9.5409,26.829,42.687,2687.6,74.005,120.36,0.66544,81.501,51.26,2616,23.871,50.453,3089.9,23.094,63.09,129.91,341.28,94.353,79.282,32.529,8.9375,26.984,7.0684,18.919,1.019,32.685,13.903,24.072,1.1506,18.787,1.4393,5.175,2.5256,0.022252,0.84022,0.06708,54.127,43.203,63.554,54.981,31.957,64.266,21.109,79.171,41.807,47.582,25.329,40.627,16.509,1
0.27403,3675.3,4618.5,9.7052,26.576,42.907,2697.7,74.268,120.41,0.68565,81.472,48.65,2625.7,25.959,52.241,3097.9,21.661,63.102,132.71,343.21,94.273,78.904,32.249,8.9208,26.738,6.8259,18.742,0.99012,32.728,13.805,24.451,1.2168,18.568,1.4181,5.1575,2.4099,0.0096276,0.8283,0.074293,54.192,42.873,63.228,55.702,27.07,63.244,21.479,82.209,34.128,51.719,25.337,42.037,19.882,1
0.28484,3710.8,4623,9.6693,27.152,42.658,2697.5,74.785,120.39,0.69224,81.175,49.972,2626,24.034,51.424,3095.9,22.699,63.04,133.04,343.8,94.487,79.016,32.609,8.8111,26.652,6.9011,18.528,0.99061,33.099,13.755,24.224,1.2149,18.644,1.3912,5.0857,2.4859,0.019531,0.8143,0.060243,53.981,43.653,63.468,55.708,28.133,62.875,22.24,81.441,38.019,49.83,25.048,41.275,17.432,1
0.24824,3682.2,4650.8,9.7157,26.758,43.083,2700.2,75.227,120.39,0.6864,81.408,50.152,2629,23.889,51.067,3098.8,23.306,63.02,131.02,344.35,94.365,79.08,32.51,8.8179,26.487,6.7714,18.281,1.0524,33.185,13.745,24.399,1.1609,18.299,1.3964,5.0751,2.4652,0.019531,0.8143,0.060243,53.981,43.653,63.318,55.924,24.405,61.692,21.944,80.748,38.547,49.004,25.056,42.364,15.967,1
0.27915,3682.9,4703.4,9.6686,26.929,43.022,2700,74.892,120.43,0.68054,81.218,51.322,2627.9,23.329,49.89,3100.9,22.051,62.411,117.44,341.14,94.403,79.022,32.324,9.0671,26.746,6.9774,18.542,1.0203,32.789,13.737,24.364,1.3521,18.449,1.4269,5.0706,2.4702,0.023308,0.83982,0.056491,53.501,43.514,64.43,55.741,27.28,62.567,21.228,81.039,41.99,46.279,22.387,41.616,19.009,1
0.32717,3705.4,4651.9,9.4227,27.048,42.737,2695.8,75.227,120.4,0.67023,81.402,49.334,2623.7,24.24,49.607,3098.6,22.831,62.708,127.22,340.11,94.43,79.027,32.06,8.8796,27.145,6.7997,18.957,0.96285,32.864,13.99,24.922,1.3055,18.646,1.4269,5.0234,2.4005,0.027305,0.85522,0.060517,53.212,43.791,62.856,56.064,32.146,63.175,21.133,80.178,36.141,45.624,23.85,40.862,17.188,1
0.32657,3666.6,4637.8,9.6487,26.788,42.775,2686.5,74.162,120.39,0.674,81.478,48.521,2614.3,24.704,50.207,3089.6,23.667,63.414,143.49,339.71,94.583,79.082,31.945,8.9925,26.766,6.6748,18.851,1.0619,32.688,13.817,23.886,1.1117,18.979,1.3751,5.1521,2.4215,0.030307,0.87506,0.061704,54.27,43.91,63.006,55.384,32.159,61.756,20.849,81.826,33.748,47.013,27.424,40.62,15.235,1
0.26346,3728.3,4609.4,9.5619,26.994,43.234,2695.6,75.316,120.42,0.67956,81.163,50.175,2623.4,24.76,49.517,3094.2,21.752,63.81,155.08,343.45,94.421,79.132,33.025,8.923,26.896,6.8766,18.901,0.98945,33.083,13.851,24.401,1.1296,18.408,1.4181,5.0577,2.4849,0.0081736,0.80074,0.052138,53.509,43.391,64.54,55.645,26.174,63.369,21.871,80.977,38.616,45.417,30.332,41.879,19.7,1
0.29098,3696.3,4679.5,9.5414,26.976,42.774,2698.2,74.966,120.43,0.70152,81.736,48.683,2626.6,24.582,49.832,3098.4,22.176,63.699,144.65,341.78,94.366,79.771,32.128,9.0162,27.15,6.9114,18.979,1.0247,32.956,13.854,24.287,1.3036,18.741,1.4013,5.0101,2.4833,0.010346,0.81302,0.052593,53.644,43.109,63.724,55.396,28.46,64.601,21.485,83.42,34.226,46.145,28.268,41.567,18.631,1
0.24529,3692.9,4702.2,9.64,27.063,42.779,2704.6,73.647,120.41,0.68928,81.347,51.103,2633.8,24.445,50.921,3104.8,23.612,62.992,131.77,342.7,94.282,79.448,32.074,8.9227,27.025,6.9737,18.505,1.0373000000000001,32.972,13.756,24.57,1.2564,18.737,1.3574,5.0079,2.3205,0.026988,0.82117,0.061724,54.103,44.4,63.794,56.522,23.933,63.169,22.11,81.861,41.346,48.664,24.909,42.17,15.245,1
0.2858,3617,4698.5,9.632,26.805,42.595,2701.6,75.473,120.39,0.68675,80.814,51.028,2629.4,24.24,49.096,3102.2,21.824,62.858,129.14,342.64,94.53,78.674,32.425,8.9823,27.017,6.936,18.398,0.96859,33.493,13.905,24.658,1.1938,18.766,1.3908,5.1564,2.4382,0.01676,0.82971,0.058334,53.008,43.808,63.851,55.596,28.053,63.654,21.526,81.418,41.126,44.442,24.605,42.449,19.556,1
0.27086,3682.5,4728.4,9.6843,26.708,42.913,2703.3,75.748,120.37,0.68108,80.961,49.331,2631.3,23.96,48.982,3102.9,22.619,62.569,126.61,342.33,94.442,78.936,32.13,8.9617,27.127,6.6558,18.406,1.0167,32.994,13.865,24.843,1.1948,18.367,1.3875,5.0765,2.3674,0.0301,0.82967,0.060057,52.967,44.637,62.821,56.178,26.435,62.768,21.919,80.006,36.132,44.177,23.608,40.413,17.692,1
0.25663,3663.8,4652.7,9.539,26.895,42.295,2693.9,74.314,120.38,0.68378,80.716,50.86,2620.8,25.501,50.516,3093.5,22.388,62.56,123.61,340.85,94.642,78.257,32.104,9.0042,27.055,6.8251,19.416,1.0189,32.568,13.743,24.807,1.2617,18.826,1.3856,5.1113,2.4456,0.017552,0.84136,0.070202,54.07,44.511,63.12,55.341,25.295,62.46,21.491,81.464,40.63,47.729,23.404,40.577,18.313,1
0.23408,3637.3,4501.6,9.3803,26.959,42.162,2709.2,74.679,120.4,0.32851,80.309,49.974,2638,25.487,49.573,3107.7,23.343,65.764,230.45,341.75,94.565,77.414,32.176,8.9145,26.451,6.7782,18.697,1.6572,32.795,13.724,23.821,1.3881,18.601,2.2499,4.7782,2.2751,0.010021,0.83904,0.088545,53.375,43.19,63.001,54.02,23.133,60.511,22.06,39.349,38.023,45.547,47.302,41.755,17.158,1
0.26675,3660.9,4558.2,9.4059,26.988,42.206,2712.5,74.879,120.41,0.33774,80.041,49.654,2641.3,26.789,49.654,3108.5,22.277,65.675,229.36,343.12,94.472,77.421,32.347,8.8456,26.278,6.7086,18.46,1.6324,32.965,13.784,24.343,1.2766,18.242,2.3201,4.7784,2.2605,0.018776,0.84664,0.092587,53.28,44.061,63.399,54.255,26.317,61.149,22.65,40.015,37.083,45.733,47.577,41.674,19.675,1
0.29541,3641.9,4605,9.436,26.83,42.27,2703.9,75.062,120.42,0.32981,79.913,49.832,2632.7,24.093,50.444,3102,22.494,65.732,232.37,340.42,94.67,76.986,31.965,8.706,26.312,6.9461,19.241,1.6198,32.541,13.869,24.428,1.4362,18.698,2.2737,4.7757,2.2619,0.020841,0.83713,0.10594,53.272,43.795,63.23,53.857,28.715,60.807,21.991,40.185,37.606,47.563,47.813,41.025,19.248,1
